ID | TIẾT | MỨC ĐỘ | CÂU HỎI | ĐÁP ÁN ĐÚNG | CÁC ĐÁP ÁN NHIỄU KHÁC (CÁCH NHAU DẤU PHẨY)
1 | 111 | 1 | 1 m³ bằng bao nhiêu dm³? | 1000 dm³ | 10 dm³, 100 dm³, 10 000 dm³
2 | 111 | 1 | 1 dm³ bằng bao nhiêu cm³? | 1000 cm³ | 10 cm³, 100 cm³, 10 000 cm³
3 | 111 | 1 | 2 m³ bằng bao nhiêu dm³? | 2000 dm³ | 200 dm³, 20 000 dm³, 200 000 dm³
4 | 111 | 1 | 0,5 m³ bằng bao nhiêu dm³? | 500 dm³ | 50 dm³, 5000 dm³, 5 dm³
5 | 111 | 1 | 1500 dm³ đổi ra m³ được: | 1.5 m³ | 0.15 m³, 15 m³, 150 m³
6 | 111 | 1 | 300 000 cm³ đổi ra dm³ được: | 300 dm³ | 3 dm³, 30 dm³, 3000 dm³
7 | 111 | 1 | 1 m³ bằng bao nhiêu cm³? | 1 000 000 cm³ | 1000 cm³, 10 000 cm³, 100 000 cm³
8 | 111 | 1 | 2500 dm³ bằng bao nhiêu m³? | 2.5 m³ | 0.25 m³, 25 m³, 250 m³
9 | 111 | 1 | 0,08 m³ bằng bao nhiêu dm³? | 80 dm³ | 8 dm³, 800 dm³, 0, 8 dm³
10 | 111 | 1 | 720 dm³ bằng bao nhiêu cm³? | 720 000 cm³ | 7200 cm³, 72 000 cm³, 7 200 000 cm³
11 | 111 | 1 | Số đo 3,2 m³ đọc là: | Ba phẩy hai mét khối | Ba phẩy hai đề xi mét khối, Ba mươi hai mét khối, Ba hai mét khối
12 | 111 | 1 | 1,75 m³ bằng bao nhiêu dm³? | 1750 dm³ | 175 dm³, 17 500 dm³, 1.75 dm³
13 | 111 | 1 | 900 000 cm³ đổi ra m³ được: | 0.9 m³ | 0.09 m³, 9 m³, 90 m³
14 | 111 | 1 | 4,06 m³ bằng bao nhiêu dm³? | 4060 dm³ | 406 dm³, 40 600 dm³, 4.06 dm³
15 | 111 | 1 | 0,004 m³ bằng bao nhiêu cm³? | 4000 cm³ | 4 cm³, 40 cm³, 400 cm³
16 | 112 | 1 | Đổi 3 m³ ra dm³ được: | 3000 dm³ | 30 dm³, 300 dm³, 30 000 dm³
17 | 112 | 1 | Đổi 2400 dm³ ra m³ được: | 2.4 m³ | 24 m³, 0.24 m³, 240 m³
18 | 112 | 1 | Đổi 0,6 m³ ra dm³ được: | 600 dm³ | 6 dm³, 60 dm³, 6000 dm³
19 | 112 | 1 | 3900 cm³ đổi ra dm³ được: | 3.9 dm³ | 0.39 dm³, 39 dm³, 390 dm³
20 | 112 | 1 | 2,5 m³ bằng bao nhiêu dm³? | 2500 dm³ | 25 dm³, 250 dm³, 25 000 dm³
21 | 112 | 1 | 7 500 000 cm³ đổi ra m³ được: | 7.5 m³ | 0.75 m³, 75 m³, 750 m³
22 | 112 | 1 | 4600 dm³ đổi ra m³ được: | 4.6 m³ | 0.46 m³, 46 m³, 460 m³
23 | 112 | 1 | 0,08 m³ đổi ra dm³ được: | 80 dm³ | 0.8 dm³, 8 dm³, 800 dm³
24 | 112 | 1 | 0,35 m³ bằng bao nhiêu cm³? | 3 500 000 cm³ | 3500 cm³, 35 000 cm³, 350 000 cm³
25 | 112 | 1 | 1200 000 cm³ đổi ra m³ được: | 1.2 m³ | 0.12 m³, 12 m³, 120 m³
26 | 112 | 1 | Đổi 15 dm³ ra cm³ được: | 15 000 cm³ | 150 cm³, 1500 cm³, 150 000 cm³
27 | 112 | 1 | 1,7 m³ bằng bao nhiêu dm³? | 1700 dm³ | 170 dm³, 17 000 dm³, 1, 7 dm³
28 | 112 | 1 | 250 dm³ đổi ra m³ được: | 0.25 m³ | 2.5 m³, 25 m³, 250 m³
29 | 112 | 1 | 0,004 m³ bằng bao nhiêu dm³? | 4 dm³ | 0.04 dm³, 0.4 dm³, 40 dm³
30 | 112 | 1 | Số đo 300 m³ đọc là: | Ba trăm mét khối | Ba mươi mét khối, Ba nghìn mét khối, Ba trăm đề xi mét khối
31 | 113 | 1 | Số 0,015 m³ đọc là: | Không phẩy không mười lăm mét khối | Không phẩy mười lăm mét khối, Mười lăm mét khối, Một phẩy năm mét khối
32 | 113 | 1 | 0,015 m³ bằng bao nhiêu dm³? | 1 | 0, 15 dm³, 5 dm³, 15 dm³, 150 dm³
33 | 113 | 1 | 100,05 m³ bằng bao nhiêu dm³? | 10 005 dm³ | 1000, 5 dm³, 100 050 dm³, 1 000 500 dm³
34 | 113 | 1 | 821 dm³ đổi ra m³ được: | 0.821 m³ | 8.21 m³, 82.1 m³, 821 m³
35 | 113 | 1 | 100,2 cm³ đọc là: | Một trăm phẩy không hai xen ti mét khối | Một trăm phẩy hai xen ti mét khối, Một nghìn không hai xen ti mét khối, Một trăm hai xen ti mét khối
36 | 113 | 1 | 5 m³ đổi ra dm³ được: | 5000 dm³ | 50 dm³, 500 dm³, 50 000 dm³
37 | 113 | 1 | 480 dm³ đổi ra m³ được: | 0.48 m³ | 0.048 m³, 4.8 m³, 48 m³
